
ID	Country	Week Starting	Predicted Deaths	Observed	R_t
75	Switzerland	05-04-2020	1,270 (471 - 1,720)		2.40 (2.13 - 2.64)
76	Turkey	29-03-2020	384 (146 - 865)	393	2.63 (1.84 - 3.70)
77	Turkey	05-04-2020	1,650 (1,040 - 2,160)		2.78 (2.28 - 3.56)
78	United Kingdom	22-03-2020	1,260 (605 - 2,170)	786	3.61 (2.61 - 5.01)
79	United Kingdom	29-03-2020	4,120 (2,550 - 8,190)	3294	4.14 (3.10 - 5.00)
80	United Kingdom	05-04-2020	13,900 (8,380 - 16,200)		3.05 (2.73 - 3.25)
81	United States of America	15-03-2020	192 (64 - 580)	283	3.31 (1.95 - 5.31)
82	United States of America	22-03-2020	2,860 (1,830 - 4,960)	1851	5.18 (4.01 - 6.18)
83	United States of America	29-03-2020	10,800 (8,970 - 12,000)	6310	3.63 (3.40 - 3.90)
84	United States of America	05-04-2020	19,500 (14,700 - 24,500)		2.56 (2.24 - 2.81)
