ID	Country	Week Ending	Predicted Deaths	Observed Deaths	R_t
208	Switzerland	05-04-2020	1,320 (1,110 - 1,570)		2.32 (2.10 - 2.55)
213	Turkey	29-03-2020	339 (187 - 595)	393	2.81 (1.96 - 3.88)
214	Turkey	05-04-2020	1,770 (1,340 - 2,320)		3.12 (2.65 - 3.64)
220	United Kingdom	22-03-2020	1,630 (1,150 - 2,280)	786	4.33 (3.59 - 5.15)
221	United Kingdom	29-03-2020	4,120 (3,380 - 5,010)	3294	3.42 (3.05 - 3.82)
222	United Kingdom	05-04-2020	15,300 (14,200 - 16,400)		3.14 (3.02 - 3.27)
229	United States of America	15-03-2020	187 (80 - 409)	283	3.18 (1.93 - 4.86)
230	United States of America	22-03-2020	2,560 (1,770 - 3,610)	1851	4.72 (3.87 - 5.64)
231	United States of America	29-03-2020	11,000 (9,830 - 12,200)	6310	3.72 (3.51 - 3.94)
232	United States of America	05-04-2020	23,600 (22,500 - 24,800)		2.75 (2.68 - 2.83)
