ID	Country	Week Starting	Predicted Deaths	Observed Deaths	R_t
205	Switzerland	05-04-2020	1,430 (1,100 - 1,840)		2.47 (2.29 - 2.67)
211	Turkey	29-03-2020	251 (120 - 574)	393	2.29 (1.82 - 3.48)
212	Turkey	05-04-2020	1,300 (960 - 1,810)		2.48 (2.23 - 2.86)
217	United Kingdom	22-03-2020	894 (562 - 1,410)	786	3.02 (2.54 - 3.61)
218	United Kingdom	29-03-2020	6,680 (5,030 - 8,840)	3294	4.64 (4.26 - 5.05)
219	United Kingdom	05-04-2020	13,900 (12,000 - 16,100)		2.88 (2.72 - 3.09)
225	United States of America	15-03-2020	199 (53 - 675)	283	3.56 (2.04 - 5.43)
226	United States of America	22-03-2020	3,330 (2,010 - 5,330)	1851	5.54 (4.82 - 6.28)
227	United States of America	29-03-2020	10,100 (8,610 - 12,100)	6310	3.51 (3.38 - 3.79)
228	United States of America	05-04-2020	19,500 (17,400 - 21,700)		2.37 (2.24 - 2.48)
