time	susceptible	severe	exposed	overflow	ICU	infectious	cumulative_recovered	cumulative_hospitalized	cumulative_critical	cumulative_fatality
2020-04-08	39483960	0	19783	0	0	8479	0	0	0	0
2020-04-09	39482572	18	20182	0	0	8761	689	18	0	0
2020-04-10	39476639	83	22153	0	3	9681	3664	94	3	0
2020-04-11	39470238	140	24483	0	9	10429	6922	177	9	0
2020-04-12	39463440	192	26929	0	18	11211	10432	269	19	1
2020-04-13	39456203	243	29401	0	30	12128	14216	371	33	1
2020-04-14	39448450	295	31916	0	46	13193	18319	487	51	2
2020-04-15	39440109	352	34525	0	65	14382	22786	621	74	4
2020-04-16	39431125	413	37271	0	89	15667	27651	772	103	6
2020-04-17	39421462	478	40176	0	117	17034	32945	943	139	9
2020-04-18	39411090	548	43248	0	151	18478	38694	1134	182	13
2020-04-19	39399979	622	46486	0	191	20003	44924	1344	233	18
2020-04-20	39388099	698	49888	0	236	21614	51662	1575	293	24
2020-04-21	39375419	779	53454	0	286	23314	58938	1827	362	32
2020-04-22	39361904	862	57184	0	342	25106	66781	2101	440	42
2020-04-23	39347519	949	61079	0	404	26993	75224	2397	527	54
2020-04-24	39332231	1039	65142	0	471	28976	84296	2716	625	68
2020-04-25	39316002	1133	69376	0	543	31055	94029	3059	732	84
2020-04-26	39298799	1231	73781	0	620	33232	104457	3427	850	103
2020-04-27	39280583	1333	78362	0	702	35507	115611	3822	979	124
2020-04-28	39261319	1440	83120	0	789	37883	127523	4243	1119	148
2020-04-29	39240969	1550	88058	0	882	40360	140227	4692	1270	175
2020-04-30	39219495	1666	93179	0	979	42941	153757	5171	1433	205
2020-05-01	39196858	1786	98485	0	1082	45625	168146	5680	1609	239
2020-05-02	39173018	1912	103981	0	1191	48415	183429	6220	1797	276
2020-05-03	39147934	2043	109670	0	1305	51312	199642	6794	1999	317
2020-05-04	39121565	2179	115556	0	1424	54318	216818	7402	2215	361
2020-05-05	39093866	2320	121645	0	1549	57435	234996	8044	2445	410
2020-05-06	39064793	2467	127943	0	1681	60665	254210	8724	2691	463
2020-05-07	39034299	2620	134455	0	1818	64010	274500	9442	2952	521
2020-05-08	39002334	2778	141190	0	1961	67473	295902	10198	3229	583
2020-05-09	38968849	2943	148156	0	2111	71057	318456	10996	3523	650
2020-05-10	38933790	3114	155361	0	2267	74765	342203	11835	3834	722
2020-05-11	38897100	3290	162817	0	2430	78601	367183	12718	4163	800
2020-05-12	38858721	3474	170534	0	2600	82570	393440	13646	4511	883
2020-05-13	38818592	3664	178525	0	2777	86675	421017	14621	4878	972
2020-05-14	38776648	3861	186802	0	2961	90924	449960	15644	5266	1066
2020-05-15	38732825	4065	195374	0	3153	95320	480317	16717	5674	1167
2020-05-16	38687057	4276	204254	0	3352	99871	512137	17841	6104	1275
2020-05-17	38639275	4495	213450	0	3559	104583	545472	19019	6556	1389
2020-05-18	38589408	4722	222971	0	3774	109461	580375	20252	7031	1511
2020-05-19	38537388	4957	232826	0	3998	114513	616902	21542	7530	1639
2020-05-20	38483141	5200	243020	0	4230	119745	655110	22892	8054	1776
2020-05-21	38426598	5452	253560	0	4471	125161	695060	24303	8603	1920
2020-05-22	38367687	5713	264449	0	4721	130767	736813	25778	9179	2072
2020-05-23	38306338	5983	275687	0	4980	136569	780431	27318	9783	2233
2020-05-24	38242484	6263	287273	0	5250	142569	825980	28927	10415	2403
2020-05-25	38176058	6553	299204	0	5529	148771	873525	30606	11076	2581
2020-05-26	38107000	6853	311470	0	5818	155177	923134	32357	11769	2770
2020-05-27	38035252	7163	324061	0	6119	161788	974872	34184	12492	2968
2020-05-28	37960761	7484	336960	0	6430	168603	1028808	36089	13249	3176
2020-05-29	37883482	7816	350151	0	6752	175620	1085008	38073	14039	3395
2020-05-30	37803369	8158	363612	0	7086	182834	1143538	40139	14865	3624
2020-05-31	37720385	8511	377326	87	7345	190239	1204464	42290	15726	3865
2020-06-01	37634492	8874	391273	444	7345	197829	1267847	44527	16624	4119
2020-06-02	37545659	9248	405431	810	7345	205594	1333746	46854	17561	4388
2020-06-03	37453862	9633	419780	1187	7345	213524	1402220	49270	18537	4672
2020-06-04	37359078	10027	434297	1574	7345	221610	1473320	51780	19554	4972
2020-06-05	37261291	10431	448959	1972	7345	229840	1547098	54384	20611	5287
