time	susceptible	severe	exposed	overflow	ICU	infectious	cumulative_recovered	cumulative_hospitalized	cumulative_critical	cumulative_fatality
2020-03-01	329992597	0	5182	0	0	2221	0	0	0	0
2020-03-02	329990826	13	6176	0	0	2425	560	14	0	0
2020-03-03	329988273	30	7663	0	1	2654	1379	35	1	0
2020-03-04	329985512	44	9216	0	3	2944	2280	59	4	0
2020-03-05	329982458	59	10818	0	6	3366	3292	86	7	0
2020-03-06	329978985	77	12542	0	10	3926	4459	120	11	0
2020-03-07	329974981	98	14476	0	16	4606	5824	161	18	1
2020-03-08	329970354	123	16688	0	23	5389	7422	212	26	1
2020-03-09	329965028	152	19220	0	32	6278	9287	273	37	2
2020-03-10	329958923	186	22104	0	44	7285	11455	347	52	3
2020-03-11	329951949	224	25367	0	59	8428	13967	433	70	5
2020-03-12	329944002	268	29046	0	77	9728	16871	534	93	7
2020-03-13	329934966	317	33183	0	99	11205	20220	652	121	10
2020-03-14	329924712	373	37825	0	124	12879	24074	788	154	13
2020-03-15	329913099	436	43023	0	154	14770	28500	945	194	17
2020-03-16	329899973	507	48833	0	189	16903	33572	1125	240	23
2020-03-17	329885165	587	55316	0	229	19301	39373	1330	295	30
2020-03-18	329868493	676	62534	0	275	21993	45991	1566	358	38
2020-03-19	329849756	777	70558	0	327	25007	53528	1833	431	47
2020-03-20	329828736	890	79461	0	386	28377	62091	2138	515	59
2020-03-21	329805194	1017	89325	0	453	32136	71802	2483	611	72
2020-03-22	329778870	1158	100239	0	529	36323	82793	2873	721	88
2020-03-23	329749482	1317	112297	0	614	40977	95207	3314	847	107
2020-03-24	329716720	1493	125603	0	710	46142	109203	3811	989	129
2020-03-25	329680252	1690	140266	0	818	51865	124955	4370	1151	153
2020-03-26	329639716	1909	156405	0	940	58199	142649	4999	1334	182
2020-03-27	329594722	2151	174144	0	1075	65198	162494	5703	1540	215
2020-03-28	329544849	2421	193616	0	1227	72921	184714	6492	1773	253
2020-03-29	329489642	2719	214961	0	1397	81433	209553	7373	2035	296
2020-03-30	329428614	3048	238329	0	1586	90801	237277	8357	2328	345
2020-03-31	329361243	3413	263875	0	1796	101097	268176	9453	2658	400
2020-04-01	329286969	3814	291762	0	2030	112400	302562	10673	3026	463
2020-04-02	329205197	4256	322158	0	2290	124790	340776	12029	3437	534
2020-04-03	329115293	4743	355239	0	2578	138352	383181	13533	3896	614
2020-04-04	329016589	5277	391181	0	2896	153178	430175	15200	4408	703
2020-04-05	328908376	5863	430165	0	3249	169361	482181	17044	4976	804
2020-04-06	328789914	6505	472370	0	3638	186999	539656	19082	5608	918
2020-04-07	328660426	7208	517974	0	4067	206193	603088	21331	6308	1044
2020-04-08	328519108	7975	567148	0	4540	227043	673000	23809	7083	1186
2020-04-09	328365130	8812	620054	0	5059	249655	749946	26537	7941	1344
2020-04-10	328197638	9723	676840	0	5630	274133	834516	29534	8888	1520
2020-04-11	328015769	10714	737635	0	6256	300577	927335	32824	9933	1715
2020-04-12	327818650	11789	802544	0	6942	329086	1029058	36428	11083	1932
2020-04-13	327605406	12953	871649	0	7692	359754	1140374	40373	12349	2173
2020-04-14	327375152	14212	945018	0	8510	392665	1262001	44682	13738	2440
2020-04-15	327127007	15571	1022701	0	9403	427897	1394686	49383	15262	2735
2020-04-16	326860091	17034	1104728	0	10374	465514	1539197	54502	16931	3061
2020-04-17	326573535	18605	1191109	0	11430	505575	1696326	60068	18755	3420
2020-04-18	326266485	20290	1281832	0	12575	548124	1866878	66108	20747	3816
2020-04-19	325938104	22091	1376863	0	13816	593197	2051678	72653	22918	4251
2020-04-20	325587578	24013	1476151	0	15156	640817	2251556	79731	25281	4729
2020-04-21	325214113	26058	1579624	0	16602	690997	2467353	87371	27847	5253
2020-04-22	324816943	28229	1687197	0	18158	743736	2699911	95604	30631	5826
