time	susceptible	severe	exposed	overflow	ICU	infectious	cumulative_recovered	cumulative_hospitalized	cumulative_critical	cumulative_fatality
2020-04-06	326836546	0	231624	0	0	99267	0	0	0	0
2020-04-07	326826370	207	230219	0	0	102576	8065	207	0	0
2020-04-08	326782990	972	227295	0	31	113255	42895	1097	31	0
2020-04-09	326736570	1638	227659	0	104	120567	80896	2068	108	2
2020-04-10	326688413	2216	230105	0	211	125431	121055	3105	226	6
2020-04-11	326639386	2726	233490	0	347	128813	162662	4207	380	13
2020-04-12	326589968	3189	236964	0	511	131475	205306	5378	573	25
2020-04-13	326540369	3620	240058	0	702	133853	248793	6623	806	42
2020-04-14	326490665	4029	242600	0	922	136113	293044	7943	1081	65
2020-04-15	326440884	4419	244584	0	1170	138267	338019	9334	1402	95
2020-04-16	326391054	4789	246072	0	1446	140265	383678	10792	1769	133
2020-04-17	326341212	5137	247135	0	1748	142058	429965	12306	2182	180
2020-04-18	326291403	5461	247833	0	2073	143615	476813	13869	2641	238
2020-04-19	326241670	5759	248214	0	2417	144925	524145	15472	3141	306
2020-04-20	326192049	6030	248321	0	2775	145992	571885	17106	3682	386
2020-04-21	326142564	6275	248195	0	3143	146829	619955	18765	4258	477
2020-04-22	326093228	6493	247881	0	3517	147452	668284	20443	4866	581
2020-04-23	326044039	6688	247431	0	3893	147883	716806	22135	5504	698
2020-04-24	325994984	6859	246896	0	4268	148142	765461	23836	6167	827
2020-04-25	325946042	7011	246328	0	4638	148253	814196	25544	6852	969
2020-04-26	325897191	7143	245769	0	5002	148244	862964	27255	7557	1123
2020-04-27	325848411	7259	245250	0	5357	148140	911730	28968	8279	1290
2020-04-28	325799678	7361	244794	0	5702	147968	960465	30681	9015	1469
2020-04-29	325750968	7450	244420	0	6036	147755	1009149	32393	9765	1659
2020-04-30	325702261	7529	244139	0	6357	147521	1057771	34103	10526	1860
2020-05-01	325653533	7598	243957	0	6665	147287	1106325	35810	11297	2072
2020-05-02	325604767	7660	243875	0	6961	147067	1154813	37516	12077	2294
2020-05-03	325555946	7715	243890	0	7243	146876	1203241	39219	12864	2526
2020-05-04	325507057	7766	243995	0	7513	146721	1251617	40921	13658	2768
2020-05-05	325458093	7813	244179	0	7770	146610	1299954	42620	14459	3019
2020-05-06	325409051	7857	244424	0	8015	146545	1348267	44319	15265	3278
2020-05-07	325359937	7898	244712	0	8248	146527	1396569	46018	16077	3546
2020-05-08	325310760	7938	245016	0	8470	146555	1444877	47716	16894	3822
2020-05-09	325261542	7977	245308	0	8681	146622	1493203	49415	17716	4104
2020-05-10	325212310	8014	245555	0	8882	146721	1541560	51115	18543	4394
2020-05-11	325163100	8051	245722	0	9073	146842	1589956	52817	19374	4691
2020-05-12	325113950	8088	245780	0	9256	146972	1638398	54519	20209	4994
2020-05-13	325064895	8123	245704	0	9430	147095	1686885	56224	21049	5304
2020-05-14	325015973	8158	245479	0	9596	147197	1735415	57929	21893	5619
2020-05-15	324967223	8191	245090	0	9754	147261	1783978	59636	22741	5940
2020-05-16	324918684	8222	244526	0	9905	147274	1832560	61343	23593	6266
2020-05-17	324870395	8251	243782	0	10049	147221	1881142	63050	24449	6597
2020-05-18	324822394	8277	242852	0	10187	147092	1929702	64756	25307	6933
2020-05-19	324774719	8300	241734	0	10317	146879	1978214	66461	26169	7274
2020-05-20	324727405	8320	240431	0	10441	146572	2026649	68162	27034	7619
2020-05-21	324680485	8336	238946	0	10559	146168	2074976	69859	27900	7968
2020-05-22	324633989	8347	237287	0	10670	145661	2123162	71552	28769	8321
2020-05-23	324587943	8354	235463	0	10775	145050	2171174	73238	29639	8678
2020-05-24	324542371	8355	233487	0	10874	144335	2218976	74916	30509	9038
2020-05-25	324497290	8352	231375	0	10965	143516	2266536	76586	31380	9402
