day,date,susceptible,infected,recovered
6,2020-04-14,39249441.95481739,161945.18362820212,100835.86155440687
7,2020-04-15,39228477.94367892,171341.68165036952,112403.37467070702
8,2020-04-16,39206309.390905164,181271.54287767233,124642.06621716199
9,2020-04-17,39182869.345257,191763.6211774366,137590.0335655672
10,2020-04-18,39158087.4043379,202848.16058386044,151287.43507824125
11,2020-04-19,39131889.569221534,214556.8413727998,165776.58940565982
12,2020-04-20,39104198.09701748,226922.82490737186,181102.07807514555
13,2020-04-21,39074931.351936795,239980.79678039422,197310.851282815
14,2020-04-22,39044003.65551621,253767.0077166613,214452.3367671288
15,2020-04-23,39011325.13676662,268319.3116293483,232578.55160403324
16,2020-04-24,38976801.58312937,283677.2001502144,251744.21672041528
17,2020-04-25,38940334.293253414,299881.83287258475,272006.873874002
18,2020-04-26,38901819.93274731,316976.06245921407,293427.00479347236
19,2020-04-27,38861150.394213945,335004.4536740701,316068.1521119877
20,2020-04-28,38818212.66304196,354013.2952979026,339997.0416601355
21,2020-04-29,38772888.69060759,374050.6037824223,365283.70560998574
22,2020-04-30,38725055.276732475,395166.11738737085,392001.6058801588
23,2020-05-01,38674583.96344856,417411.2794293244,420227.7571221137
24,2020-05-02,38621340.942338556,440839.20915152144,450042.8485099226
25,2020-05-03,38565186.97794924,465504.6586014405,481531.363449317
26,2020-05-04,38505977.350014776,491463.95377866004,514781.69620656274
27,2020-05-05,38443561.81747493,518774.9181914581,549886.2643336098
28,2020-05-06,38377784.60752818,547496.7768388176,586941.6156329997
29,2020-05-07,38308484.43321805,577690.0385176092,626048.5282643439
30,2020-05-08,38235494.54330998,609416.3542458485,667312.1024441731
31,2020-05-09,38158642.80847108,642738.3494957559,710841.8420331622
32,2020-05-10,38077751.84801082,677719.4278491699,756751.7241400018
33,2020-05-11,37992639.20167174,714423.5436276067,805160.254700657
34,2020-05-12,37903117.55116756,752914.9410155205,856190.5078169144
35,2020-05-13,37808994.99634471,793257.8571944071,909970.1464608801
36,2020-05-14,37710075.39098099,835516.1870442511,966631.4219747665
37,2020-05-15,37606158.74332409,879753.1070551223,1026311.1496207842
38,2020-05-16,37497041.68649873,926030.6562336894,1089150.6572675786
39,2020-05-17,37382518.02386281,974409.2719957768,1155295.7041414136
40,2020-05-18,37262379.354257174,1024947.2793159978,1224896.3664268262
41,2020-05-19,37136415.78185384,1077700.3317681907,1298106.8863779688
42,2020-05-20,37004416.71495061,1132720.8035451206,1375085.4815042682
43,2020-05-21,36866171.757569574,1190057.1321015046,1455994.1103289195
44,2020-05-22,36721471.697077766,1249753.1117289248,1540998.1911933129
45,2020-05-23,36570109.590246044,1311847.1391514302,1630266.2706025213
46,2020-05-24,36411881.949183576,1376371.4131316661,1723969.637684767
47,2020-05-25,36246590.027418286,1443351.0911018264,1822281.8814798854
48,2020-05-26,36074041.20503153,1512803.4069813148,1925378.3879871592
49,2020-05-27,35894050.47019043,1584736.7556094576,2033435.7742001098
50,2020-05-28,35706441.992657915,1659149.7505984488,2146631.256743643
51,2020-05-29,35511050.782900184,1736030.2638848599,2265141.9532149606
52,2020-05-30,35307724.428271115,1815354.456807855,2389144.1149210213
53,2020-05-31,35096324.89545053,1897085.8141421713,2518812.290407297
54,2020-06-01,34876730.38588045,1981174.1941306735,2654318.419988881
55,2020-06-02,34648837.228419006,2067554.9091542037,2795830.8624267858
56,2020-06-03,34412561.790864654,2156147.8531975467,2943513.355937801
57,2020-06-04,34167842.38945452,2246856.693664999,3097523.916880483
58,2020-06-05,33914641.17297993,2339568.1463063727,3258013.680713696
59,2020-06-06,33652945.95586723,2434151.35296862,3425125.691164152
60,2020-06-07,33382771.972531337,2530457.382521034,3598993.6449476243
61,2020-06-08,33104163.523614343,2628318.875543676,3779740.6008419846
62,2020-06-09,32817195.483467285,2727549.8531519016,3967477.6633808184
63,2020-06-10,32521974.637515586,2827945.709592751,4162302.6528916685
64,2020-06-11,32218640.81805624,2929283.4069383214,4364298.775005436
65,2020-06-12,31907367.807650346,3031321.888277192,4573533.304072458
66,2020-06-13,31588363.98066365,3133802.72324409,4790056.296092258
67,2020-06-14,31261872.65571978,3236450.99652767,5013899.34775255
68,2020-06-15,30928172.134889238,3338976.4461776656,5245074.418933097
69,2020-06-16,30587575.4093395,3441074.854143292,5483572.736517217
70,2020-06-17,30240429.51588249,3542429.686590059,5729363.797527451
71,2020-06-18,29887114.534307607,3642713.9762656502,5982394.489426741
72,2020-06-19,29528042.221478235,3741592.4336474747,6242588.344874288
73,2020-06-20,29163654.28476308,3838723.767959247,6509844.947277681
74,2020-06-21,28794420.304303363,3933763.1935647298,6784039.502131913
75,2020-06-22,28420835.32069317,4026365.0919202934,7065022.587386535
76,2020-06-23,28043417.11166179,4116185.7943859347,7352620.09395227
77,2020-06-24,27662703.188074358,4202886.4469458,7646633.364979837
78,2020-06-25,27279247.54578791,4286135.914450413,7946839.539761682
79,2020-06-26,26893617.215401947,4365613.679518483,8252992.105079567
80,2020-06-27,26506388.656532273,4441012.689851123,8564821.653616602
81,2020-06-28,26118144.046749115,4512042.107502064,8882036.845748827
82,2020-06-29,25729467.51762906,4578429.9146576775,9204325.567713259
83,2020-06-30,25340941.39139063,4639925.332706282,9531356.275903095
84,2020-07-01,24953142.471280966,4696301.014765492,9862779.513953542
85,2020-07-02,24566638.437272232,4747354.976290977,10198229.586436791
86,2020-07-03,24181984.395773675,4792912.233768749,10537326.370457575
87,2020-07-04,23799719.62808207,4832826.127619729,10879677.2442982
88,2020-07-05,23420364.57732781,4866979.312115436,11224879.110556751
89,2020-07-06,23044418.107910506,4895284.402095921,11572520.489993569
90,2020-07-07,22672355.065061267,4917684.273366881,11922183.66157185
91,2020-07-08,22304624.155437265,4934152.020607536,12273446.823955197
92,2020-07-09,21941646.162768107,4944690.583233297,12625886.253998592
93,2020-07-10,21583812.50574583,4949332.055738913,12979078.438515257
94,2020-07-11,21231484.138777718,4948136.704439959,13332602.156782322
95,2020-07-12,20884990.790077165,4941191.717109086,13686040.492813747
96,2020-07-13,20544630.525996152,4928609.715682304,14038982.758321539
97,2020-07-14,20210669.62561627,4910527.064942027,14391026.309441706
98,2020-07-15,19883342.74549051,4887102.011857639,14741778.242651848
99,2020-07-16,19562853.35111022,4858512.691105242,15090856.957784537
100,2020-07-17,19249374.38917179,4824955.032250441,15437893.578577768
