day,date,hospitalized,icu,ventilated
-46,2020-02-22,,,
-45,2020-02-23,0.2606356864312924,0.0781907059293877,0.05212713728625845
-44,2020-02-24,0.5705854173776632,0.17117562521329893,0.11411708347553262
-43,2020-02-25,0.9391797057408924,0.28175391172226766,0.18783594114817842
-42,2020-02-26,1.3775144369570413,0.41325433108711235,0.27550288739140827
-41,2020-02-27,1.898784878137974,0.5696354634413923,0.37975697562759475
-40,2020-02-28,2.5186828790444036,0.7556048637133209,0.5037365758088805
-39,2020-02-29,3.255869219105369,0.9767607657316107,0.6511738438210737
-38,2020-03-01,3.871899629203202,1.239760594690348,0.8265070631268988
-37,2020-03-02,4.604485779367805,1.5525213590236404,1.0350142393490938
-36,2020-03-03,5.475680133214574,1.846267245757252,1.2829719677910933
-35,2020-03-04,6.511707333055176,2.1955909057903655,1.525717216716185
-34,2020-03-05,7.743753477937094,2.611007595100252,1.814390587739481
-33,2020-03-06,9.208904685405985,3.1050219382480035,2.157681571741899
-32,2020-03-07,10.951263160393706,3.6925042504083296,2.5659235885084066
-31,2020-03-08,13.02327432552201,4.391138028633629,3.051404952603706
-30,2020-03-09,15.487304902835996,5.221952064142828,3.628738644107412
-29,2020-03-10,18.417519366089437,6.209953166823121,4.315301997187907
-28,2020-03-11,21.902111128763693,7.3848785106091315,5.131759516628283
-27,2020-03-12,26.045955460961057,8.782090193424198,6.102684524058131
-26,2020-03-13,30.973763751942997,10.443638863914348,7.2572982954875815
-25,2020-03-14,36.83383372568203,12.419528324731807,8.630348867033774
-24,2020-03-15,43.80250801330493,14.769219027003315,10.263155859677273
-23,2020-03-16,52.0894746070355,17.563415498135363,12.204852628433315
-22,2020-03-17,61.94406777636961,20.8861912020774,14.513862920383083
-21,2020-03-18,73.66275773819008,24.83751436121535,17.259656199161892
-20,2020-03-19,87.59805258353896,29.536250158659055,20.52483406019872
-19,2020-03-20,104.16907766523315,35.123728824855185,24.407609955316317
-18,2020-03-21,123.87414699951435,41.76798578629779,29.0247560411839
-17,2020-03-22,147.30569957819375,49.668799774878536,34.51510468312381
-16,2020-03-23,175.1680423854957,59.06367809607947,41.04370835514386
-15,2020-03-24,208.29842316312232,70.23496574702261,48.80678080787114
-14,2020-03-25,247.6920516228194,83.51828746595052,58.0375649210648
-13,2020-03-26,294.53180019564877,99.3125698844428,69.01329917792137
-12,2020-03-27,350.2234471360415,118.09193564421064,82.06348582725072
-11,2020-03-28,416.4374787341976,140.4198136314954,97.57970024038542
-10,2020-03-29,495.158646619269,166.9656704610893,116.02722349026979
-9,2020-03-30,588.7446838743465,198.52483915852912,137.95882959696655
-8,2020-03-31,699.9958231195709,236.0420028094357,164.03111603188245
-7,2020-04-01,832.2370337479997,280.6389848747017,195.02383175502595
-6,2020-04-02,989.4152063143845,333.6476048298214,231.86273196369905
-5,2020-04-03,1176.2138605443738,396.6484783206769,275.646573303501
-4,2020-04-04,1398.1883381505672,471.51677501797093,327.67895754593496
-3,2020-04-05,1661.9248575772274,560.4760935934451,389.50583496658555
-2,2020-04-06,1975.2272443020374,666.161768828881,462.95958903016566
-1,2020-04-07,2347.335588334584,791.6950853240303,550.2107379519596
0,2020-04-08,2789.181488631107,940.77002630173,653.8284001573936
1,2020-04-09,2939.5079923705234,1005.5012556051074,702.0153936629346
2,2020-04-10,3069.2989767512872,1067.767061221663,749.5072040298442
3,2020-04-11,3171.847516083483,1126.2464679487005,795.6010540130317
4,2020-04-12,3239.0335925160857,1179.3220131849585,839.4295122069257
5,2020-04-13,3261.0564977717677,1225.022216715241,879.9281164756442
6,2020-04-14,3226.1198479665336,1260.9535824408217,915.797039915153
7,2020-04-15,3120.0617433880216,1284.2203760275254,945.4557773195522
8,2020-04-16,3300.098682089726,1291.3301837316499,966.9896812204723
9,2020-04-17,3490.2346551617657,1278.083011180861,978.0870173952807
10,2020-04-18,3691.001445479599,1351.6945038814233,975.96504538273
11,2020-04-19,3902.954655516254,1429.4187168144492,1032.1188448360717
12,2020-04-20,4126.67425552267,1511.4702385469975,1091.403172229921
13,2020-04-21,4362.765072015007,1598.0730262904988,1153.9805511014572
14,2020-04-22,4611.857204067839,1689.4605879163469,1220.0204996299033
15,2020-04-23,4874.606353463681,1785.8761353807943,1289.699652358855
16,2020-04-24,5151.6940531906475,1887.5727041216483,1363.201858440103
17,2020-04-25,5443.827777112128,1994.8132323881446,1440.7182521275513
18,2020-04-26,5751.740911855672,2107.870593822621,1522.4472907892605
19,2020-04-27,6076.192570088511,2227.0275759296705,1608.59475521527
20,2020-04-28,6417.967222370724,2352.5767963468393,1699.3737064796821
