day,date,susceptible,infected,recovered
6,2020-04-14,39187708.17517349,215688.35235219228,108826.47247431775
7,2020-04-15,39148680.07123342,239310.14540996496,124232.7833566172
8,2020-04-16,39105420.80690439,265475.8279239994,141326.36517161469
9,2020-04-17,39057484.690940365,294449.38475058734,160288.92430904318
10,2020-04-18,39004382.08705703,326519.8897231686,181321.02321979945
11,2020-04-19,38945575.77582476,362003.35168949736,204643.87248574005
12,2020-04-20,38880477.1808546,401244.5643961238,230501.25474927557
13,2020-04-21,38808442.498852186,444618.920370246,259161.58077757014
14,2020-04-22,38728768.78746143,492534.13744884107,290920.07508973056
15,2020-04-23,38640690.08214399,545431.8329485084,326101.08490750496
16,2020-04-24,38543373.634002045,603788.864451271,365060.50154668407
17,2020-04-25,38435916.38477352,668118.3376475564,408188.2775789177
18,2020-04-26,38317341.82345563,738970.1605620568,455911.0159823147
19,2020-04-27,38186597.40125663,816930.9998637686,508694.5988796045
20,2020-04-28,38042552.71774094,902623.4691034721,567046.813155588
21,2020-04-29,37883998.7307196,996704.3511888455,631519.9180915502
22,2020-04-30,37709648.28482757,1099861.629138819,702713.0860336106
23,2020-05-01,37518138.2974399,1212810.0715880042,781274.6309720977
24,2020-05-02,37308033.98351013,1336285.094690061,867903.9217998123
25,2020-05-03,37077835.54007564,1471034.6027895426,963352.8571348165
26,2020-05-04,36825987.7425232,1617808.500142728,1068426.7573340696
27,2020-05-05,36550892.92301284,1777345.5696428993,1183984.5073442645
28,2020-05-06,36250927.80023787,1950357.4374433642,1310937.7623187571
29,2020-05-07,35924464.60127231,2137509.3908772715,1450249.0078504262
30,2020-05-08,35569896.851978384,2339397.8979656724,1602928.2500559457
31,2020-05-09,35185670.10319867,2556524.796890694,1770028.0999106367
32,2020-05-10,34770317.69695972,2789268.2890660213,1952637.0139742577
33,2020-05-11,34322501.452943236,3037851.083863506,2151870.463193259
34,2020-05-12,33841056.86646982,3302306.307203804,2368859.8263263665
35,2020-05-13,33325042.05627163,3582442.0954588763,2604738.8482694956
36,2020-05-14,32773789.291819863,3877806.1388064288,2860627.569373701
37,2020-05-15,32186957.483803216,4187651.7940511955,3137613.722145589
38,2020-05-16,31564583.566484112,4510907.726080927,3436731.70743496
39,2020-05-17,30907130.277680565,4846153.3201644095,3758939.4021550263
40,2020-05-18,30215527.502058692,5191602.287203111,4105093.2107381984
41,2020-05-19,29491204.144260574,5545096.9102010075,4475921.94553842
42,2020-05-20,28736107.498933785,5904115.204799155,4872000.296267063
43,2020-05-21,27952707.335949488,6265792.853154931,5293722.810895573
44,2020-05-22,27143982.4538061,6626961.102930119,5741279.443263784
45,2020-05-23,26313388.276612315,6984200.915628893,6214633.807758792
46,2020-05-24,25464805.14739099,7333912.550876725,6713505.301732285
47,2020-05-25,24602468.22939505,7672398.57238147,7237356.19822348
48,2020-05-26,23730881.256848544,7995957.0754721565,7785384.6676793
49,2020-05-27,22854717.63967425,8300980.901541298,8356524.458784454
50,2020-05-28,21978713.477602374,8584057.856360225,8949451.666037403
51,2020-05-29,21107557.74597689,8842066.598245692,9562598.655777419
52,2020-05-30,20245785.18376548,9072262.974868128,10194174.841366397
53,2020-05-31,19397677.203380078,9272352.171334373,10842193.625285547
54,2020-06-01,18567175.474480636,9440543.030852787,11504504.494666575
55,2020-06-02,17757811.79232476,9575582.210804893,12178828.996870345
56,2020-06-03,16972656.553464513,9676767.29175051,12862799.154784983
57,2020-06-04,16214286.779392684,9743939.402125873,13553996.818481447
58,2020-06-05,15484773.302716646,9777457.207221491,14249992.490061866
59,2020-06-06,14785685.587811733,9778155.121610584,14948382.290577687
