day,date,hospitalized,icu,ventilated
21,2020-04-29,1133.0993108592447,339.9297932577738,226.61986217184904
22,2020-04-30,1195.8353468780406,358.75060406341163,239.1670693756082
23,2020-05-01,1261.7828320977096,378.5348496293136,252.3565664195421
24,2020-05-02,1331.075527750152,399.32265832504527,266.2151055500299
25,2020-05-03,1403.8491097328333,421.1547329198502,280.7698219465674
26,2020-05-04,1480.2406983616347,444.07220950849023,296.0481396723271
27,2020-05-05,1560.3883134961325,468.11649404883883,312.0776626992256
28,2020-05-06,1644.4302486687302,493.3290746006196,328.8860497337464
29,2020-05-07,1732.5043577533907,519.7513073260179,346.5008715506783
30,2020-05-08,1824.7472477017145,547.424174310514,364.94944954034327
31,2020-05-09,1921.2933709724166,576.388011291725,384.2586741944833
32,2020-05-10,2022.2740115063425,606.6822034519009,404.4548023012676
33,2020-05-11,2127.816158477297,638.3448475431906,425.56323169545976
34,2020-05-12,2238.0412626042817,671.4123787812823,447.6082525208558
35,2020-05-13,2353.0638705713063,705.9191611713941,470.6127741142609
36,2020-05-14,2472.990134093263,741.8970402279792,494.59802681865403
37,2020-05-15,2597.9161914222204,779.3748574266647,519.5832382844437
38,2020-05-16,2727.9264206340376,818.3779261902127,545.5852841268079
39,2020-05-17,2863.091565898052,858.9274697694145,572.6183131796097
40,2020-05-18,3003.4667401408515,901.0400220422562,600.6933480281714
41,2020-05-19,3149.089310083378,944.7267930250127,629.8178620166746
42,2020-05-20,3299.976672580742,989.9930017742226,659.9953345161484
43,2020-05-21,3456.12393452588,1036.8371803577647,691.2247869051771
44,2020-05-22,3617.5015122953337,1085.2504536886008,723.500302459066
45,2020-05-23,3784.0526707928366,1135.2158012378495,756.8105341585688
46,2020-05-24,3955.6910265620536,1186.707307968616,791.1382053124089
47,2020-05-25,4132.298044131967,1239.6894132395864,826.4596088263916
48,2020-05-26,4313.720559669047,1294.1161679007164,862.7441119338109
49,2020-05-27,4499.768371027341,1349.930511308201,899.9536742054661
50,2020-05-28,4690.211938313107,1407.0635814939342,938.0423876626264
51,2020-05-29,4884.780243943213,1465.4340731829652,976.956048788641
52,2020-05-30,5083.158865726393,1524.9476597179164,1016.6317731452764
53,2020-05-31,5284.988320514822,1585.4964961544429,1056.9976641029643
54,2020-06-01,5489.86273925213,1646.9588217756464,1097.972547850426
55,2020-06-02,5697.328936535894,1709.1986809607624,1139.4657873071774
56,2020-06-03,5906.885938858963,1772.0657816576859,1181.3771877717954
57,2020-06-04,6117.985035253354,1835.3955105760106,1223.59700705067
58,2020-06-05,6330.03041186466,1899.009123559401,1266.0060823729327
59,2020-06-06,6542.38042781761,1962.7141283452802,1308.4760855635213
60,2020-06-07,6754.349583397154,2026.3048750191447,1350.8699166794286
61,2020-06-08,6965.211222925049,2089.5633668775117,1393.042244585009
62,2020-06-09,7174.201003676484,2152.2603011029423,1434.840200735296
63,2020-06-10,7380.521148792497,2214.1563446377477,1476.1042297585009
64,2020-06-11,7583.34548648342,2275.003645945035,1516.6690972966899
65,2020-06-12,7781.825260147336,2334.547578044192,1556.3650520294614
66,2020-06-13,7975.095674667449,2392.528702400239,1595.0191349334928
67,2020-06-14,8162.283123596775,2448.684937079037,1632.456624719358
68,2020-06-15,8342.513020763581,2502.753906229067,1668.502604152709
69,2020-06-16,8514.91813874364,2554.4754416230935,1702.9836277487339
70,2020-06-17,8678.647336425027,2603.594200927517,1735.729467285004
71,2020-06-18,8832.874539372046,2649.8623618116108,1766.574907874412
72,2020-06-19,8976.807820734306,2693.042346220289,1795.3615641468568
73,2020-06-20,9109.698417879117,2732.909525363735,1821.9396835758234
74,2020-06-21,9230.849511492852,2769.2548534478556,1846.1699022985704
75,2020-06-22,9339.624590254622,2801.8873770763894,1867.9249180509287
76,2020-06-23,9435.455225784448,2830.6365677353315,1887.0910451568852
77,2020-06-24,9517.848089685838,2855.3544269057456,1903.5696179371662
78,2020-06-25,9586.39105716144,2875.917317148429,1917.2782114322908
79,2020-06-26,9640.758259648806,2892.2274778946594,1928.1516519297656
80,2020-06-27,9680.713971741905,2904.214191522551,1936.1427943483723
81,2020-06-28,9706.115244579152,2911.8345733737515,1941.223048915832
82,2020-06-29,9716.913228001154,2915.0739684003347,1943.382645600228
83,2020-06-30,9713.153155961016,2913.9459467883134,1942.630631192209
84,2020-07-01,9694.973002741404,2908.4919008224388,1938.994600548278
85,2020-07-02,9662.600850218383,2898.7802550655033,1932.5201700436737
86,2020-07-03,9616.35103746393,2884.9053112391703,1923.2702074927802
87,2020-07-04,9556.61919229012,2866.9857576870418,1911.3238384580327
88,2020-07-05,9483.87626885646,2845.162880656935,1896.7752537712804
89,2020-07-06,9398.661735432514,2819.598520629763,1879.732347086523
90,2020-07-07,9301.576071230986,2790.472821369287,1860.3152142461913
91,2020-07-08,9193.272740600049,2757.9818221800233,1838.6545481200155
92,2020-07-09,9074.449816728942,2722.3349450186943,1814.8899633457913
93,2020-07-10,8945.841425557097,2683.7524276671174,1789.168285111402
94,2020-07-11,8808.209174202755,2642.4627522608207,1761.6418348405568
95,2020-07-12,8662.33371751383,2598.700115254149,1732.466743502766
96,2020-07-13,8509.006602025183,2552.701980607555,1701.8013204050367
97,2020-07-14,8349.022509497241,2504.7067528491607,1669.8045018994453
98,2020-07-15,8183.172003143816,2454.951600943168,1636.634400628769
99,2020-07-16,8012.234859507356,2403.6704578521894,1602.4469719014742
100,2020-07-17,7836.9740484607755,2351.092214538221,1567.3948096921522
