day,date,hospitalized,icu,ventilated
-46,2020-02-22,,,
-45,2020-02-23,0.2606356864312924,0.0781907059293877,0.05212713728625845
-44,2020-02-24,0.5705854173776632,0.17117562521329893,0.11411708347553262
-43,2020-02-25,0.9391797057408924,0.28175391172226766,0.18783594114817842
-42,2020-02-26,1.3775144369570413,0.41325433108711235,0.27550288739140827
-41,2020-02-27,1.898784878137974,0.5696354634413923,0.37975697562759475
-40,2020-02-28,2.5186828790444036,0.7556048637133209,0.5037365758088805
-39,2020-02-29,3.255869219105369,0.9767607657316107,0.6511738438210737
-38,2020-03-01,3.871899629203202,1.239760594690348,0.8265070631268988
-37,2020-03-02,4.604485779367805,1.5525213590236404,1.0350142393490938
-36,2020-03-03,5.475680133214574,1.846267245757252,1.2829719677910933
-35,2020-03-04,6.511707333055176,2.1955909057903655,1.525717216716185
-34,2020-03-05,7.743753477937094,2.611007595100252,1.814390587739481
-33,2020-03-06,9.208904685405985,3.1050219382480035,2.157681571741899
-32,2020-03-07,10.951263160393706,3.6925042504083296,2.5659235885084066
-31,2020-03-08,13.02327432552201,4.391138028633629,3.051404952603706
-30,2020-03-09,15.487304902835996,5.221952064142828,3.628738644107412
-29,2020-03-10,18.417519366089437,6.209953166823121,4.315301997187907
-28,2020-03-11,21.902111128763693,7.3848785106091315,5.131759516628283
-27,2020-03-12,26.045955460961057,8.782090193424198,6.102684524058131
-26,2020-03-13,30.973763751942997,10.443638863914348,7.2572982954875815
-25,2020-03-14,36.83383372568203,12.419528324731807,8.630348867033774
-24,2020-03-15,43.80250801330493,14.769219027003315,10.263155859677273
-23,2020-03-16,52.0894746070355,17.563415498135363,12.204852628433315
-22,2020-03-17,61.94406777636961,20.8861912020774,14.513862920383083
-21,2020-03-18,73.66275773819008,24.83751436121535,17.259656199161892
-20,2020-03-19,87.59805258353896,29.536250158659055,20.52483406019872
-19,2020-03-20,104.16907766523315,35.123728824855185,24.407609955316317
-18,2020-03-21,123.87414699951435,41.76798578629779,29.0247560411839
-17,2020-03-22,147.30569957819375,49.668799774878536,34.51510468312381
-16,2020-03-23,175.1680423854957,59.06367809607947,41.04370835514386
-15,2020-03-24,208.29842316312232,70.23496574702261,48.80678080787114
-14,2020-03-25,247.6920516228194,83.51828746595052,58.0375649210648
-13,2020-03-26,294.53180019564877,99.3125698844428,69.01329917792137
-12,2020-03-27,350.2234471360415,118.09193564421064,82.06348582725072
-11,2020-03-28,416.4374787341976,140.4198136314954,97.57970024038542
-10,2020-03-29,495.158646619269,166.9656704610893,116.02722349026979
-9,2020-03-30,588.7446838743465,198.52483915852912,137.95882959696655
-8,2020-03-31,699.9958231195709,236.0420028094357,164.03111603188245
-7,2020-04-01,832.2370337479997,280.6389848747017,195.02383175502595
-6,2020-04-02,989.4152063143845,333.6476048298214,231.86273196369905
-5,2020-04-03,1176.2138605443738,396.6484783206769,275.646573303501
-4,2020-04-04,1398.1883381505672,471.51677501797093,327.67895754593496
-3,2020-04-05,1661.9248575772274,560.4760935934451,389.50583496658555
-2,2020-04-06,1975.2272443020374,666.161768828881,462.95958903016566
-1,2020-04-07,2347.335588334584,791.6950853240303,550.2107379519596
0,2020-04-08,2789.181488631107,940.77002630173,653.8284001573936
1,2020-04-09,3089.1787446274193,1050.402481282176,731.9495441143137
2,2020-04-10,3404.413831339086,1168.3015175980026,816.5301749474039
3,2020-04-11,3733.160490058626,1294.6403601412433,907.8636488080601
4,2020-04-12,4072.8623000628927,1429.4706254490006,1006.1952537162872
5,2020-04-13,4419.924691403854,1572.6826748048666,1111.7017552020616
6,2020-04-14,4769.4643390640595,1723.9569297700796,1224.4659381346582
7,2020-04-15,5115.0085545256625,1882.7044193688168,1344.4451395470805
8,2020-04-16,5672.642529852325,2047.9945637374976,1471.432601224371
9,2020-04-17,6289.736158489636,2218.4679185555606,1605.0102889784139
10,2020-04-18,6972.321403526117,2459.583157810852,1744.4916317870616
11,2020-04-19,7726.9707828888895,2726.2377109139416,1933.753661368581
12,2020-04-20,8560.828965962635,3020.9832175760694,2142.9847821267713
13,2020-04-21,9481.641908032656,3346.590812161008,2374.1622217294635
14,2020-04-22,10497.782094299735,3706.0616402375817,2629.429098394449
15,2020-04-23,11618.268119009985,4102.6356977212745,2911.1012867455975
16,2020-04-24,12852.776423458115,4539.798279235298,3221.6727058572255
17,2020-04-25,14211.642557087653,5021.283165981451,3563.8184322994593
18,2020-04-26,15705.848809228355,5551.071506135557,3940.394917243788
19,2020-04-27,17346.994489949342,6133.385143503037,4354.436448418714
20,2020-04-28,19147.2445277811,6772.67293562867,4809.146846580461
21,2020-04-29,21119.251418545606,7473.588376012472,5307.885225525792
22,2020-04-30,23276.0449329104,8240.9566051846,5854.14448013515
23,2020-05-01,25630.883414053675,9079.728675161477,6451.52100706143
24,2020-05-02,28197.060031584973,9994.92073975395,7103.674019756509
25,2020-05-03,30987.657084499686,10991.535704448028,7814.272710341727
26,2020-05-04,34015.24146833561,12074.464816877424,8586.92945739421
27,2020-05-05,37291.4948682026,13248.366753320945,9425.11730880345
28,2020-05-06,40826.77326204315,14517.522007640613,10332.070116088747
29,2020-05-07,44629.592088881705,15885.660873514784,11310.663999921624
30,2020-05-08,48706.0361365379,17355.76409055917,12363.279328812787
31,2020-05-09,53059.09700778645,18929.83636221676,13491.643137604678
32,2020-05-10,57687.946077898014,20608.654503601323,14696.652939339248
33,2020-05-11,62587.157239499196,22391.49397925168,15978.184222483314
34,2020-05-12,67745.90141357518,24275.840052043583,17334.88558520149
