"","Continent","Country","Province","Day","Total.Detected","Active","Active.Hospitalized","Cumulative.Hospitalized","Total.Detected.Deaths","Active.Ventilated"
"162","Africa","Burkina Faso","None","2020-07-16",934,22,6,137,57,1
"163","Africa","Burkina Faso","None","2020-07-17",935,21,6,137,57,1
"164","Africa","Burkina Faso","None","2020-07-18",935,20,6,137,57,1
"165","Africa","Burkina Faso","None","2020-07-19",936,20,5,137,57,1
"166","Africa","Burkina Faso","None","2020-07-20",937,19,5,137,57,1
"167","Africa","Burkina Faso","None","2020-07-21",937,18,5,137,57,1
"168","Africa","Burkina Faso","None","2020-07-22",938,18,5,137,57,1
"169","Africa","Burkina Faso","None","2020-07-23",938,17,5,137,57,1
"170","Africa","Burkina Faso","None","2020-07-24",939,17,5,137,57,1
"171","Africa","Burkina Faso","None","2020-07-25",939,16,5,137,57,1
"172","Africa","Burkina Faso","None","2020-07-26",940,15,4,137,58,0
"173","Africa","Burkina Faso","None","2020-07-27",940,15,4,137,58,0
"174","Africa","Burkina Faso","None","2020-07-28",941,14,4,138,58,0
"175","Africa","Burkina Faso","None","2020-07-29",941,14,4,138,58,0
"176","Africa","Burkina Faso","None","2020-07-30",942,14,4,138,58,0
"177","Africa","Burkina Faso","None","2020-07-31",942,13,4,138,58,0
"178","Africa","Burkina Faso","None","2020-08-01",942,13,4,138,58,0
"179","Africa","Burkina Faso","None","2020-08-02",943,12,4,138,58,0
"180","Africa","Burkina Faso","None","2020-08-03",943,12,3,138,58,0
"181","Africa","Burkina Faso","None","2020-08-04",943,11,3,138,58,0
"182","Africa","Burkina Faso","None","2020-08-05",944,11,3,138,58,0
"183","Africa","Burkina Faso","None","2020-08-06",944,11,3,138,58,0
"184","Africa","Burkina Faso","None","2020-08-07",944,10,3,138,58,0
"185","Africa","Burkina Faso","None","2020-08-08",945,10,3,138,58,0
"186","Africa","Burkina Faso","None","2020-08-09",945,10,3,138,58,0
"187","Africa","Burkina Faso","None","2020-08-10",945,9,3,138,58,0
"188","Africa","Burkina Faso","None","2020-08-11",946,9,3,138,58,0
"189","Africa","Burkina Faso","None","2020-08-12",946,9,3,138,58,0
"190","Africa","Burkina Faso","None","2020-08-13",946,8,2,138,58,0
"191","Africa","Burkina Faso","None","2020-08-14",946,8,2,138,58,0
"192","Africa","Burkina Faso","None","2020-08-15",947,8,2,138,58,0
"193","Africa","Burundi","None","2020-06-29",224,133,23,33,2,5
"194","Africa","Burundi","None","2020-06-30",242,142,24,35,2,5
"195","Africa","Burundi","None","2020-07-01",262,152,26,38,2,6
"196","Africa","Burundi","None","2020-07-02",283,163,28,41,2,6
"197","Africa","Burundi","None","2020-07-03",304,173,30,45,2,6
"198","Africa","Burundi","None","2020-07-04",326,183,32,48,2,7
"199","Africa","Burundi","None","2020-07-05",348,194,34,51,2,7
"200","Africa","Burundi","None","2020-07-06",371,203,35,55,2,7
"201","Africa","Burundi","None","2020-07-07",394,213,37,58,2,8
"202","Africa","Burundi","None","2020-07-08",417,222,39,62,2,8
"203","Africa","Burundi","None","2020-07-09",440,230,41,65,2,8
"204","Africa","Burundi","None","2020-07-10",463,237,42,69,3,9
"205","Africa","Burundi","None","2020-07-11",485,244,43,72,3,9
"206","Africa","Burundi","None","2020-07-12",507,250,45,75,3,9
"207","Africa","Burundi","None","2020-07-13",529,255,46,78,3,9
"208","Africa","Burundi","None","2020-07-14",550,259,47,82,3,9
"209","Africa","Burundi","None","2020-07-15",570,263,48,85,3,9
"210","Africa","Burundi","None","2020-07-16",590,266,48,88,3,10
"211","Africa","Burundi","None","2020-07-17",609,267,49,90,3,10
"212","Africa","Burundi","None","2020-07-18",627,268,49,93,4,10
"213","Africa","Burundi","None","2020-07-19",644,268,50,96,4,10
"214","Africa","Burundi","None","2020-07-20",661,268,50,98,4,10
"215","Africa","Burundi","None","2020-07-21",677,266,50,101,4,10
"216","Africa","Burundi","None","2020-07-22",692,264,50,103,4,9
"217","Africa","Burundi","None","2020-07-23",707,262,50,105,4,9
"218","Africa","Burundi","None","2020-07-24",720,258,50,107,4,9
"219","Africa","Burundi","None","2020-07-25",733,255,49,109,5,9
"220","Africa","Burundi","None","2020-07-26",745,251,49,111,5,9
"221","Africa","Burundi","None","2020-07-27",757,246,48,113,5,9
"222","Africa","Burundi","None","2020-07-28",768,241,48,114,5,9
"223","Africa","Burundi","None","2020-07-29",778,236,47,116,5,8
"224","Africa","Burundi","None","2020-07-30",787,230,46,117,5,8
"225","Africa","Burundi","None","2020-07-31",796,225,46,119,5,8
"226","Africa","Burundi","None","2020-08-01",804,219,45,120,5,8
"227","Africa","Burundi","None","2020-08-02",812,213,44,121,6,7
"228","Africa","Burundi","None","2020-08-03",819,206,43,122,6,7
"229","Africa","Burundi","None","2020-08-04",826,200,42,123,6,7
"230","Africa","Burundi","None","2020-08-05",832,194,41,124,6,7
"231","Africa","Burundi","None","2020-08-06",838,187,40,125,6,6
"232","Africa","Burundi","None","2020-08-07",843,181,39,126,6,6
"233","Africa","Burundi","None","2020-08-08",848,174,38,126,6,6
"234","Africa","Burundi","None","2020-08-09",853,168,37,127,6,6
"235","Africa","Burundi","None","2020-08-10",857,162,36,128,6,6
"236","Africa","Burundi","None","2020-08-11",861,155,35,128,7,5
"237","Africa","Burundi","None","2020-08-12",865,149,34,129,7,5
"238","Africa","Burundi","None","2020-08-13",868,143,33,129,7,5
"239","Africa","Burundi","None","2020-08-14",871,137,32,130,7,5
"240","Africa","Burundi","None","2020-08-15",874,132,31,130,7,4
"241","Africa","Cabo Verde","None","2020-06-29",1054,297,58,157,9,11
"242","Africa","Cabo Verde","None","2020-06-30",1074,297,58,160,10,11
"243","Africa","Cabo Verde","None","2020-07-01",1092,296,58,163,10,10
"244","Africa","Cabo Verde","None","2020-07-02",1111,295,58,166,10,10
"245","Africa","Cabo Verde","None","2020-07-03",1129,294,59,168,10,10
"246","Africa","Cabo Verde","None","2020-07-04",1147,293,58,171,10,10
"247","Africa","Cabo Verde","None","2020-07-05",1165,292,58,174,11,10
"248","Africa","Cabo Verde","None","2020-07-06",1182,290,58,176,11,10
"249","Africa","Cabo Verde","None","2020-07-07",1199,289,58,179,11,10
"250","Africa","Cabo Verde","None","2020-07-08",1216,286,58,181,11,10
"251","Africa","Cabo Verde","None","2020-07-09",1232,284,58,184,11,10
"252","Africa","Cabo Verde","None","2020-07-10",1247,281,57,186,12,10
"253","Africa","Cabo Verde","None","2020-07-11",1263,279,57,189,12,10
"254","Africa","Cabo Verde","None","2020-07-12",1278,276,57,191,12,10
"255","Africa","Cabo Verde","None","2020-07-13",1293,273,56,193,12,10
"256","Africa","Cabo Verde","None","2020-07-14",1307,269,56,195,12,9
"257","Africa","Cabo Verde","None","2020-07-15",1321,266,55,197,12,9
"258","Africa","Cabo Verde","None","2020-07-16",1334,262,55,199,13,9
"259","Africa","Cabo Verde","None","2020-07-17",1347,259,54,201,13,9
"260","Africa","Cabo Verde","None","2020-07-18",1360,255,54,203,13,9
"261","Africa","Cabo Verde","None","2020-07-19",1372,251,53,205,13,9
"262","Africa","Cabo Verde","None","2020-07-20",1384,247,52,207,13,9
"263","Africa","Cabo Verde","None","2020-07-21",1396,242,52,208,13,8
"264","Africa","Cabo Verde","None","2020-07-22",1407,238,51,210,13,8
"265","Africa","Cabo Verde","None","2020-07-23",1418,234,50,212,14,8
"266","Africa","Cabo Verde","None","2020-07-24",1429,229,49,213,14,8
"267","Africa","Cabo Verde","None","2020-07-25",1439,225,49,215,14,8
"268","Africa","Cabo Verde","None","2020-07-26",1448,220,48,216,14,8
"269","Africa","Cabo Verde","None","2020-07-27",1458,216,47,218,14,7
"270","Africa","Cabo Verde","None","2020-07-28",1467,211,46,219,14,7
"271","Africa","Cabo Verde","None","2020-07-29",1476,206,46,220,14,7
"272","Africa","Cabo Verde","None","2020-07-30",1484,202,45,222,14,7
"273","Africa","Cabo Verde","None","2020-07-31",1492,197,44,223,15,7
"274","Africa","Cabo Verde","None","2020-08-01",1500,192,43,224,15,7
"275","Africa","Cabo Verde","None","2020-08-02",1508,188,42,225,15,6
"276","Africa","Cabo Verde","None","2020-08-03",1515,183,41,226,15,6
"277","Africa","Cabo Verde","None","2020-08-04",1522,178,40,227,15,6
"278","Africa","Cabo Verde","None","2020-08-05",1529,174,40,228,15,6
"279","Africa","Cabo Verde","None","2020-08-06",1535,169,39,229,15,6
"280","Africa","Cabo Verde","None","2020-08-07",1541,164,38,230,15,6
"281","Africa","Cabo Verde","None","2020-08-08",1547,160,37,231,15,5
"282","Africa","Cabo Verde","None","2020-08-09",1553,155,36,232,15,5
"283","Africa","Cabo Verde","None","2020-08-10",1558,151,35,233,16,5
"284","Africa","Cabo Verde","None","2020-08-11",1563,146,34,234,16,5
"285","Africa","Cabo Verde","None","2020-08-12",1568,142,34,234,16,5
"286","Africa","Cabo Verde","None","2020-08-13",1573,138,33,235,16,5
"287","Africa","Cabo Verde","None","2020-08-14",1577,134,32,236,16,4
"288","Africa","Cabo Verde","None","2020-08-15",1581,130,31,236,16,4
"289","Africa","Cameroon","None","2020-06-29",13992,4065,777,2093,385,145
"290","Africa","Cameroon","None","2020-06-30",14338,4136,791,2145,394,148
"291","Africa","Cameroon","None","2020-07-01",14689,4207,806,2198,404,150
"292","Africa","Cameroon","None","2020-07-02",15045,4278,820,2251,414,153
"293","Africa","Cameroon","None","2020-07-03",15405,4349,835,2305,424,155
"294","Africa","Cameroon","None","2020-07-04",15770,4421,849,2360,434,158
"295","Africa","Cameroon","None","2020-07-05",16139,4491,863,2415,444,160
"296","Africa","Cameroon","None","2020-07-06",16513,4562,878,2472,454,163
"297","Africa","Cameroon","None","2020-07-07",16891,4633,892,2528,464,165
"298","Africa","Cameroon","None","2020-07-08",17274,4703,906,2586,475,167
"299","Africa","Cameroon","None","2020-07-09",17661,4773,921,2644,486,170
"300","Africa","Cameroon","None","2020-07-10",18053,4842,935,2702,496,172
"301","Africa","Cameroon","None","2020-07-11",18448,4912,949,2762,507,175
"302","Africa","Cameroon","None","2020-07-12",18848,4980,964,2822,518,177
"303","Africa","Cameroon","None","2020-07-13",19252,5049,978,2882,529,180
"304","Africa","Cameroon","None","2020-07-14",19660,5117,992,2944,541,182
"305","Africa","Cameroon","None","2020-07-15",20071,5184,1006,3005,552,184
"306","Africa","Cameroon","None","2020-07-16",20487,5251,1020,3068,564,187
"307","Africa","Cameroon","None","2020-07-17",20906,5317,1033,3131,575,189
"308","Africa","Cameroon","None","2020-07-18",21329,5382,1047,3194,587,191
"309","Africa","Cameroon","None","2020-07-19",21756,5447,1061,3258,599,193
"310","Africa","Cameroon","None","2020-07-20",22186,5511,1074,3322,610,196
"311","Africa","Cameroon","None","2020-07-21",22619,5574,1088,3387,622,198
"312","Africa","Cameroon","None","2020-07-22",23056,5636,1101,3453,635,200
"313","Africa","Cameroon","None","2020-07-23",23496,5698,1114,3519,647,202
"314","Africa","Cameroon","None","2020-07-24",23939,5758,1127,3585,659,204
"315","Africa","Cameroon","None","2020-07-25",24385,5818,1140,3652,671,206
"316","Africa","Cameroon","None","2020-07-26",24834,5876,1152,3720,684,208
"317","Africa","Cameroon","None","2020-07-27",25286,5934,1165,3787,696,210
"318","Africa","Cameroon","None","2020-07-28",25740,5991,1177,3856,709,212
"319","Africa","Cameroon","None","2020-07-29",26197,6046,1189,3924,722,214
"320","Africa","Cameroon","None","2020-07-30",26657,6101,1201,3993,734,216
"321","Africa","Cameroon","None","2020-07-31",27119,6154,1213,4062,747,218
"322","Africa","Cameroon","None","2020-08-01",27583,6206,1224,4132,760,220
"323","Africa","Cameroon","None","2020-08-02",28049,6257,1235,4202,773,222
"324","Africa","Cameroon","None","2020-08-03",28517,6306,1247,4272,786,223
"325","Africa","Cameroon","None","2020-08-04",28988,6355,1257,4343,799,225
"326","Africa","Cameroon","None","2020-08-05",29460,6402,1268,4414,812,226
"327","Africa","Cameroon","None","2020-08-06",29934,6447,1278,4485,825,228
"328","Africa","Cameroon","None","2020-08-07",30409,6492,1288,4556,838,230
"329","Africa","Cameroon","None","2020-08-08",30886,6535,1298,4627,852,231
"330","Africa","Cameroon","None","2020-08-09",31364,6576,1308,4699,865,232
"331","Africa","Cameroon","None","2020-08-10",31843,6616,1317,4771,878,234
"332","Africa","Cameroon","None","2020-08-11",32324,6655,1326,4843,892,235
"333","Africa","Cameroon","None","2020-08-12",32805,6692,1335,4915,905,236
"334","Africa","Cameroon","None","2020-08-13",33287,6728,1344,4988,919,238
"335","Africa","Cameroon","None","2020-08-14",33770,6762,1352,5060,932,239
"336","Africa","Cameroon","None","2020-08-15",34254,6794,1360,5133,945,240
"337","Africa","Central African Republic","None","2020-06-29",1242,196,46,186,4,7
"338","Africa","Central African Republic","None","2020-06-30",1245,186,44,187,4,6
"339","Africa","Central African Republic","None","2020-07-01",1248,177,43,187,4,6
"340","Africa","Central African Republic","None","2020-07-02",1250,169,41,187,4,6
"341","Africa","Central African Republic","None","2020-07-03",1252,160,40,188,4,5
"342","Africa","Central African Republic","None","2020-07-04",1254,152,38,188,4,5
"343","Africa","Central African Republic","None","2020-07-05",1255,145,37,188,4,5
"344","Africa","Central African Republic","None","2020-07-06",1257,137,35,189,4,4
"345","Africa","Central African Republic","None","2020-07-07",1258,130,34,189,4,4
"346","Africa","Central African Republic","None","2020-07-08",1259,123,33,189,4,4
"347","Africa","Central African Republic","None","2020-07-09",1260,117,31,189,4,4
"348","Africa","Central African Republic","None","2020-07-10",1261,111,30,189,5,4
"349","Africa","Central African Republic","None","2020-07-11",1262,105,29,189,5,3
"350","Africa","Central African Republic","None","2020-07-12",1263,99,28,189,5,3
"351","Africa","Central African Republic","None","2020-07-13",1264,94,26,190,5,3
"352","Africa","Central African Republic","None","2020-07-14",1264,89,25,190,5,3
"353","Africa","Central African Republic","None","2020-07-15",1265,84,24,190,5,3
"354","Africa","Central African Republic","None","2020-07-16",1265,80,23,190,5,2
"355","Africa","Central African Republic","None","2020-07-17",1266,75,22,190,5,2
"356","Africa","Central African Republic","None","2020-07-18",1266,71,21,190,5,2
"357","Africa","Central African Republic","None","2020-07-19",1267,67,20,190,5,2
"358","Africa","Central African Republic","None","2020-07-20",1267,64,20,190,5,2
"359","Africa","Central African Republic","None","2020-07-21",1267,60,19,190,5,2
"360","Africa","Central African Republic","None","2020-07-22",1267,57,18,190,5,2
"361","Africa","Central African Republic","None","2020-07-23",1268,54,17,190,5,2
"362","Africa","Central African Republic","None","2020-07-24",1268,51,16,190,5,2
"363","Africa","Central African Republic","None","2020-07-25",1268,48,16,190,5,1
"364","Africa","Central African Republic","None","2020-07-26",1268,45,15,190,5,1
"365","Africa","Central African Republic","None","2020-07-27",1268,43,14,190,5,1
"366","Africa","Central African Republic","None","2020-07-28",1269,40,14,190,5,1
"367","Africa","Central African Republic","None","2020-07-29",1269,38,13,190,5,1
"368","Africa","Central African Republic","None","2020-07-30",1269,36,13,190,5,1
"369","Africa","Central African Republic","None","2020-07-31",1269,34,12,190,5,1
"370","Africa","Central African Republic","None","2020-08-01",1269,32,11,190,5,1
"371","Africa","Central African Republic","None","2020-08-02",1269,30,11,190,6,1
"372","Africa","Central African Republic","None","2020-08-03",1269,29,11,190,6,1
"373","Africa","Central African Republic","None","2020-08-04",1269,27,10,190,6,1
"374","Africa","Central African Republic","None","2020-08-05",1269,26,10,190,6,1
"375","Africa","Central African Republic","None","2020-08-06",1269,24,9,190,6,1
"376","Africa","Central African Republic","None","2020-08-07",1269,23,9,190,6,1
"377","Africa","Central African Republic","None","2020-08-08",1269,22,8,190,6,1
"378","Africa","Central African Republic","None","2020-08-09",1269,20,8,190,6,1
"379","Africa","Central African Republic","None","2020-08-10",1269,19,8,190,6,1
"380","Africa","Central African Republic","None","2020-08-11",1269,18,7,190,6,0
"381","Africa","Central African Republic","None","2020-08-12",1269,17,7,190,6,0
"382","Africa","Central African Republic","None","2020-08-13",1269,16,7,190,6,0
"383","Africa","Central African Republic","None","2020-08-14",1269,15,6,190,6,0
"384","Africa","Central African Republic","None","2020-08-15",1269,15,6,190,6,0
"385","Africa","Chad","None","2020-06-29",872,67,18,122,75,2
"386","Africa","Chad","None","2020-06-30",872,63,18,122,75,2
"387","Africa","Chad","None","2020-07-01",873,59,17,122,75,2
"388","Africa","Chad","None","2020-07-02",873,56,16,122,75,2
"389","Africa","Chad","None","2020-07-03",873,53,15,122,75,2
"390","Africa","Chad","None","2020-07-04",874,50,15,122,75,2
"391","Africa","Chad","None","2020-07-05",874,47,14,122,75,1
"392","Africa","Chad","None","2020-07-06",874,45,14,122,75,1
"393","Africa","Chad","None","2020-07-07",874,42,13,122,75,1
"394","Africa","Chad","None","2020-07-08",875,40,12,122,75,1
"395","Africa","Chad","None","2020-07-09",875,38,12,122,75,1
"396","Africa","Chad","None","2020-07-10",875,35,11,122,75,1
"397","Africa","Chad","None","2020-07-11",875,33,11,122,75,1
"398","Africa","Chad","None","2020-07-12",875,32,10,122,75,1
