"","Continent","Country","Province","Day","Total.Detected","Active","Active.Hospitalized","Cumulative.Hospitalized","Total.Detected.Deaths","Active.Ventilated"
"1","Africa","Algeria","None","2020-06-29",12358,1518,336,1840,904,52
"2","Africa","Algeria","None","2020-06-30",12428,1487,330,1851,909,51
"3","Africa","Algeria","None","2020-07-01",12497,1455,324,1861,914,50
"4","Africa","Algeria","None","2020-07-02",12562,1424,319,1871,919,49
"5","Africa","Algeria","None","2020-07-03",12626,1393,313,1880,924,48
"6","Africa","Algeria","None","2020-07-04",12687,1362,307,1890,928,47
"7","Africa","Algeria","None","2020-07-05",12747,1330,301,1899,933,45
"8","Africa","Algeria","None","2020-07-06",12804,1299,296,1907,937,44
"9","Africa","Algeria","None","2020-07-07",12859,1268,290,1915,941,43
"10","Africa","Algeria","None","2020-07-08",12912,1237,284,1923,945,42
"11","Africa","Algeria","None","2020-07-09",12964,1207,278,1931,949,41
"12","Africa","Algeria","None","2020-07-10",13013,1176,272,1938,952,40
"13","Africa","Algeria","None","2020-07-11",13060,1146,266,1946,956,39
"14","Africa","Algeria","None","2020-07-12",13106,1116,260,1952,959,38
"15","Africa","Algeria","None","2020-07-13",13150,1086,255,1959,962,37
"16","Africa","Algeria","None","2020-07-14",13192,1057,249,1965,965,36
"17","Africa","Algeria","None","2020-07-15",13233,1028,243,1971,968,35
"18","Africa","Algeria","None","2020-07-16",13272,999,237,1977,971,34
"19","Africa","Algeria","None","2020-07-17",13309,971,232,1983,974,33
"20","Africa","Algeria","None","2020-07-18",13345,943,226,1988,976,32
"21","Africa","Algeria","None","2020-07-19",13379,916,221,1993,979,31
"22","Africa","Algeria","None","2020-07-20",13412,889,215,1998,981,30
"23","Africa","Algeria","None","2020-07-21",13443,862,210,2003,984,29
"24","Africa","Algeria","None","2020-07-22",13473,836,204,2007,986,28
"25","Africa","Algeria","None","2020-07-23",13502,810,199,2012,988,27
"26","Africa","Algeria","None","2020-07-24",13530,785,194,2016,990,26
"27","Africa","Algeria","None","2020-07-25",13556,760,189,2020,992,25
"28","Africa","Algeria","None","2020-07-26",13581,736,184,2024,994,24
"29","Africa","Algeria","None","2020-07-27",13605,713,179,2027,996,24
"30","Africa","Algeria","None","2020-07-28",13628,689,174,2031,997,23
"31","Africa","Algeria","None","2020-07-29",13650,667,169,2034,999,22
"32","Africa","Algeria","None","2020-07-30",13671,644,164,2037,1000,21
"33","Africa","Algeria","None","2020-07-31",13691,623,159,2040,1002,20
"34","Africa","Algeria","None","2020-08-01",13710,602,155,2043,1003,20
"35","Africa","Algeria","None","2020-08-02",13728,581,150,2046,1005,19
"36","Africa","Algeria","None","2020-08-03",13745,561,146,2048,1006,18
"37","Africa","Algeria","None","2020-08-04",13762,541,141,2051,1007,18
"38","Africa","Algeria","None","2020-08-05",13777,522,137,2053,1008,17
"39","Africa","Algeria","None","2020-08-06",13792,503,133,2055,1009,16
"40","Africa","Algeria","None","2020-08-07",13806,485,129,2057,1010,16
"41","Africa","Algeria","None","2020-08-08",13820,468,125,2059,1011,15
"42","Africa","Algeria","None","2020-08-09",13832,450,121,2061,1012,15
"43","Africa","Algeria","None","2020-08-10",13845,434,117,2063,1013,14
"44","Africa","Algeria","None","2020-08-11",13856,418,113,2065,1014,13
"45","Africa","Algeria","None","2020-08-12",13867,402,110,2067,1015,13
"46","Africa","Algeria","None","2020-08-13",13877,387,106,2068,1015,12
"47","Africa","Algeria","None","2020-08-14",13887,372,103,2070,1016,12
"48","Africa","Algeria","None","2020-08-15",13896,358,99,2071,1017,11
"49","Africa","Angola","None","2020-06-29",224,85,16,30,11,3
"50","Africa","Angola","None","2020-06-30",229,84,16,31,12,3
"51","Africa","Angola","None","2020-07-01",233,83,16,31,12,3
"52","Africa","Angola","None","2020-07-02",238,82,16,32,12,3
"53","Africa","Angola","None","2020-07-03",242,81,16,33,12,3
"54","Africa","Angola","None","2020-07-04",246,80,15,33,12,3
"55","Africa","Angola","None","2020-07-05",250,79,15,34,13,3
"56","Africa","Angola","None","2020-07-06",254,77,15,35,13,3
"57","Africa","Angola","None","2020-07-07",258,76,15,35,13,3
"58","Africa","Angola","None","2020-07-08",261,74,15,36,13,3
"59","Africa","Angola","None","2020-07-09",264,72,15,36,13,3
"60","Africa","Angola","None","2020-07-10",267,71,14,36,14,2
"61","Africa","Angola","None","2020-07-11",270,69,14,37,14,2
"62","Africa","Angola","None","2020-07-12",273,67,14,37,14,2
"63","Africa","Angola","None","2020-07-13",275,65,14,38,14,2
"64","Africa","Angola","None","2020-07-14",278,63,13,38,14,2
"65","Africa","Angola","None","2020-07-15",280,62,13,38,14,2
"66","Africa","Angola","None","2020-07-16",282,60,13,39,14,2
"67","Africa","Angola","None","2020-07-17",284,58,12,39,15,2
"68","Africa","Angola","None","2020-07-18",286,56,12,39,15,2
"69","Africa","Angola","None","2020-07-19",287,54,12,40,15,2
"70","Africa","Angola","None","2020-07-20",289,52,11,40,15,2
"71","Africa","Angola","None","2020-07-21",290,50,11,40,15,2
"72","Africa","Angola","None","2020-07-22",292,48,11,40,15,2
"73","Africa","Angola","None","2020-07-23",293,46,11,40,15,2
"74","Africa","Angola","None","2020-07-24",294,45,10,41,15,2
"75","Africa","Angola","None","2020-07-25",295,43,10,41,15,1
"76","Africa","Angola","None","2020-07-26",296,41,10,41,15,1
"77","Africa","Angola","None","2020-07-27",297,39,9,41,15,1
"78","Africa","Angola","None","2020-07-28",298,38,9,41,15,1
"79","Africa","Angola","None","2020-07-29",299,36,9,41,16,1
"80","Africa","Angola","None","2020-07-30",300,35,8,41,16,1
"81","Africa","Angola","None","2020-07-31",300,33,8,41,16,1
"82","Africa","Angola","None","2020-08-01",301,32,8,42,16,1
"83","Africa","Angola","None","2020-08-02",301,30,8,42,16,1
"84","Africa","Angola","None","2020-08-03",302,29,7,42,16,1
"85","Africa","Angola","None","2020-08-04",302,27,7,42,16,1
"86","Africa","Angola","None","2020-08-05",303,26,7,42,16,1
"87","Africa","Angola","None","2020-08-06",303,25,7,42,16,1
"88","Africa","Angola","None","2020-08-07",304,24,6,42,16,1
"89","Africa","Angola","None","2020-08-08",304,23,6,42,16,1
"90","Africa","Angola","None","2020-08-09",304,21,6,42,16,1
"91","Africa","Angola","None","2020-08-10",305,20,6,42,16,1
"92","Africa","Angola","None","2020-08-11",305,19,5,42,16,1
"93","Africa","Angola","None","2020-08-12",305,18,5,42,16,1
"94","Africa","Angola","None","2020-08-13",305,18,5,42,16,1
"95","Africa","Angola","None","2020-08-14",305,17,5,42,16,1
"96","Africa","Angola","None","2020-08-15",306,16,5,42,16,0
"97","Africa","Benin","None","2020-06-29",429,35,9,63,10,1
"98","Africa","Benin","None","2020-06-30",429,34,8,63,10,1
"99","Africa","Benin","None","2020-07-01",429,33,8,63,10,1
"100","Africa","Benin","None","2020-07-02",429,32,8,63,10,1
"101","Africa","Benin","None","2020-07-03",429,31,8,63,10,1
"102","Africa","Benin","None","2020-07-04",429,30,7,63,10,1
"103","Africa","Benin","None","2020-07-05",429,29,7,63,11,1
"104","Africa","Benin","None","2020-07-06",429,29,7,63,11,1
"105","Africa","Benin","None","2020-07-07",429,28,7,63,11,1
"106","Africa","Benin","None","2020-07-08",429,27,6,63,11,1
"107","Africa","Benin","None","2020-07-09",429,27,6,63,11,1
"108","Africa","Benin","None","2020-07-10",429,26,6,63,11,1
"109","Africa","Benin","None","2020-07-11",429,25,6,63,11,1
"110","Africa","Benin","None","2020-07-12",429,25,6,63,11,1
"111","Africa","Benin","None","2020-07-13",429,24,6,63,12,1
"112","Africa","Benin","None","2020-07-14",429,24,5,63,12,1
"113","Africa","Benin","None","2020-07-15",429,23,5,63,12,1
"114","Africa","Benin","None","2020-07-16",429,23,5,63,12,1
"115","Africa","Benin","None","2020-07-17",429,22,5,63,12,1
"116","Africa","Benin","None","2020-07-18",429,22,5,63,12,1
"117","Africa","Benin","None","2020-07-19",429,22,5,63,12,1
"118","Africa","Benin","None","2020-07-20",429,21,5,63,12,1
"119","Africa","Benin","None","2020-07-21",429,21,5,63,12,1
"120","Africa","Benin","None","2020-07-22",429,20,4,63,13,1
"121","Africa","Benin","None","2020-07-23",429,20,4,63,13,1
"122","Africa","Benin","None","2020-07-24",429,20,4,63,13,1
"123","Africa","Benin","None","2020-07-25",429,19,4,63,13,1
"124","Africa","Benin","None","2020-07-26",429,19,4,63,13,1
"125","Africa","Benin","None","2020-07-27",429,19,4,63,13,1
"126","Africa","Benin","None","2020-07-28",429,19,4,63,13,1
"127","Africa","Benin","None","2020-07-29",429,18,4,63,13,1
"128","Africa","Benin","None","2020-07-30",429,18,4,63,13,1
"129","Africa","Benin","None","2020-07-31",429,18,4,63,14,1
"130","Africa","Benin","None","2020-08-01",429,18,4,63,14,1
"131","Africa","Benin","None","2020-08-02",429,17,3,63,14,1
"132","Africa","Benin","None","2020-08-03",429,17,3,63,14,1
"133","Africa","Benin","None","2020-08-04",429,17,3,63,14,1
"134","Africa","Benin","None","2020-08-05",429,17,3,63,14,1
"135","Africa","Benin","None","2020-08-06",429,16,3,63,14,1
"136","Africa","Benin","None","2020-08-07",429,16,3,63,14,1
"137","Africa","Benin","None","2020-08-08",429,16,3,63,14,1
"138","Africa","Benin","None","2020-08-09",429,16,3,63,14,1
"139","Africa","Benin","None","2020-08-10",429,16,3,63,15,1
"140","Africa","Benin","None","2020-08-11",429,16,3,63,15,1
"141","Africa","Benin","None","2020-08-12",429,15,3,63,15,1
"142","Africa","Benin","None","2020-08-13",429,15,3,63,15,1
"143","Africa","Benin","None","2020-08-14",429,15,3,63,15,1
"144","Africa","Benin","None","2020-08-15",429,15,3,63,15,1
"145","Africa","Burkina Faso","None","2020-06-29",918,37,10,134,56,1
"146","Africa","Burkina Faso","None","2020-06-30",919,36,9,134,56,1
"147","Africa","Burkina Faso","None","2020-07-01",920,35,9,134,56,1
"148","Africa","Burkina Faso","None","2020-07-02",921,34,9,135,56,1
"149","Africa","Burkina Faso","None","2020-07-03",923,33,9,135,56,1
"150","Africa","Burkina Faso","None","2020-07-04",924,32,8,135,57,1
"151","Africa","Burkina Faso","None","2020-07-05",925,31,8,135,57,1
"152","Africa","Burkina Faso","None","2020-07-06",926,30,8,135,57,1
"153","Africa","Burkina Faso","None","2020-07-07",927,29,8,135,57,1
"154","Africa","Burkina Faso","None","2020-07-08",928,28,8,136,57,1
"155","Africa","Burkina Faso","None","2020-07-09",929,27,7,136,57,1
"156","Africa","Burkina Faso","None","2020-07-10",929,26,7,136,57,1
"157","Africa","Burkina Faso","None","2020-07-11",930,25,7,136,57,1
"158","Africa","Burkina Faso","None","2020-07-12",931,25,7,136,57,1
"159","Africa","Burkina Faso","None","2020-07-13",932,24,7,136,57,1
"160","Africa","Burkina Faso","None","2020-07-14",933,23,6,136,57,1
"161","Africa","Burkina Faso","None","2020-07-15",933,22,6,136,57,1
