iso2	iso3	location_type	area_level	location_name	abbreviation	FIPS
DE	DEU	Province/State	Intermediate	Bavaria		
ES	ESP	Other	Intermediate	Basque County		
IT	ITA	Other	Intermediate	Basilicata		
ES	ESP	Other	Intermediate	Balearic Islands		
DE	DEU	Province/State	Intermediate	Baden-Wurttemberg		
AT	AUT	Country	Country	Austria		
ES	ESP	Other	Intermediate	Asturias		
ES	ESP	Other	Intermediate	Aragon		
ES	ESP	Other	Intermediate	Andalucia		
IT	ITA	Other	Intermediate	Abruzzo		
PR	PRI	Other	Intermediate	Puerto Rico		
AZ	DZA	Country	Country	Algeria		
AR	ARG	Country	Country	Argentina		
BR	BRA	Country	Country	Brazil		
CA	CAN	Country	Country	Canada		
CN	CHN	Country	Country	China		
DO	DOM	Country	Country	Dominican Republic		
EC	ECU	Country	Country	Ecuador		
EG	EGY	Country	Country	Egypt		
IN	IND	Country	Country	India		
ID	IDN	Country	Country	Indonesia		
IR	IRN	Country	Country	Iran		
IQ	IRQ	Country	Country	Iraq		
IL	ISL	Country	Country	Israel		
JP	JPN	Country	Country	Japan		
MY	MYS	Country	Country	Malaysia		
MX	MEX	Country	Country	Mexico		
MA	MAR	Country	Country	Morocco		
PA	PAN	Country	Country	Panama		
PE	PER	Country	Country	Peru		
PH	PHL	Country	Country	Philippines		
KR	KOR	Country	Country	South Korea		
CH	CHE	Country	Country	Switzerland		
TR	TUR	Country	Country	Turkey		
ES	ESP	Other	Intermediate	Basque Country		
IS	ISL	Country	Country	Iceland		
US	USA	Country	Country	United States of America		
